about_author,author,birthdate,deathdate,rating,title,url,website
"Mira also writes as Seanan McGuire . Born and raised in Northern California, Mira Grant has made a lifelong study of horror movies, horrible viruses, and the inevitable threat of the living dead. In college, she was voted Most Likely to Summon Something Horrible in the Cornfield, and was a founding member of the Horror Movie Sleep-Away Survival Camp, where her record for time survived in the Swamp Cannibals scenario remains unchallenged. Mira lives in a crumbling farmhouse with an assortment of cats, horror movies, comics, and books about horrible diseases. When not writing, she splits her time between travel, auditing college virology courses, and watching more horror movies than is strictly good for you. Favorite vacation spots include Seattle, London, and a large haunted corn maze just outside of Huntsville, Alabama. Mira sleeps with a machete under her bed, and highly suggests that you do the same.",Mira Grant,1978-01-05 00:00:00,,3.85,Feed,https://www.goodreads.com/book/show/7094569-feed,http://miragrant.com/index.php
"Kurt Vonnegut, Junior was an American novelist, satirist, and most recently, graphic artist. He was recognized as New York State Author for 2001-2003. He was born in Indianapolis, later the setting for many of his novels. He attended Cornell University from 1941 to 1943, where he wrote a column for the student newspaper, the Cornell Daily Sun. Vonnegut trained as a chemist and worked as a journalist before joining the U.S. Army and serving in World War II. After the war, he attended University of Chicago as a graduate student in anthropology and also worked as a police reporter at the City News Bureau of Chicago. He left Chicago to work in Schenectady, New York in public relations for General Electric. He attributed his unadorned writing style to his reporting work. His experiences as an advance scout in the Battle of the Bulge, and in particular his witnessing of the bombing of Dresden, Germany whilst a prisoner of war, would inform much of his work. This event would also form the core of his most famous work, Slaughterhouse-Five, the book which would make him a millionaire. This acerbic 200-page book is what most people mean when they describe a work as ""Vonnegutian"" in scope. Vonnegut was a self-proclaimed humanist and socialist (influenced by the style of Indiana's own Eugene V. Debs) and a lifelong supporter of the American Civil Liberties Union. The novelist is known for works blending satire, black comedy and science fiction, such as Slaughterhouse-Five (1969), Cat's Cradle (1963), and Breakfast of Champions (1973)",Kurt Vonnegut Jr.,1922-11-11 00:00:00,2007-04-11 00:00:00,3.91,Player Piano,https://www.goodreads.com/book/show/9597.Player_Piano,http://www.vonnegut.com/
"Mya Robarts is a bookaholic who regrets nothing. She aspired to be a contemporary dance choreographer when she discovered a pull for expressing her choreography ideas in written form. After years of writing short stories. Mya will release her debut novel ""The V girl"" in two languages. Newsletter https://tinyletter.com/myarobarts Twitter https://twitter.com/MyaRobarts Facebook https://www.facebook.com/MyaRobartsBooks Tumblr http://myarobarts.tumblr.com/",Mya Robarts,1982-08-23 00:00:00,,3.95,The V Girl: A Coming of Age Story,https://www.goodreads.com/book/show/25437891-the-v-girl,https://www.facebook.com/MyaRobartsBooks
"Robert Anson Heinlein was an American science fiction author, aeronautical engineer, and naval officer. Sometimes called the ""dean of science fiction writers"", he was among the first to emphasize scientific accuracy in his fiction, and was thus a pioneer of the subgenre of hard science fiction. His published works, both fiction and non-fiction, express admiration for competence and emphasize the value of critical thinking. His plots often posed provocative situations which challenged conventional social mores. His work continues to have an influence on the science-fiction genre, and on modern culture more generally. Heinlein became one of the first American science-fiction writers to break into mainstream magazines such as The Saturday Evening Post in the late 1940s. He was one of the best-selling science-fiction novelists for many decades, and he, Isaac Asimov , and Arthur C. Clarke are often considered the ""Big Three"" of English-language science fiction authors. Notable Heinlein works include Stranger in a Strange Land, Starship Troopers (which helped mold the space marine and mecha archetypes) and The Moon Is a Harsh Mistress. His work sometimes had controversial aspects, such as plural marriage in The Moon Is a Harsh Mistress, militarism in Starship Troopers and technologically competent women characters who were formidable, yet often stereotypically feminine—such as Friday. Heinlein used his science fiction as a way to explore provocative social and political ideas and to speculate how progress in science and engineering might shape the future of politics, race, religion, and sex. Within the framework of his science-fiction stories, Heinlein repeatedly addressed certain social themes: the importance of individual liberty and self-reliance, the nature of sexual relationships, the obligation individuals owe to their societies, the influence of organized religion on culture and government, and the tendency of society to repress nonconformist thought. He also speculated on the influence of space travel on human cultural practices. Heinlein was named the first Science Fiction Writers Grand Master in 1974. Four of his novels won Hugo Awards. In addition, fifty years after publication, seven of his works were awarded ""Retro Hugos""—awards given retrospectively for works that were published before the Hugo Awards came into existence. In his fiction, Heinlein coined terms that have become part of the English language, including grok, waldo and speculative fiction, as well as popularizing existing terms like ""TANSTAAFL"", ""pay it forward"", and ""space marine"". He also anticipated mechanical computer-aided design with ""Drafting Dan"" and described a modern version of a waterbed in his novel Beyond This Horizon. Also wrote under Pen names: Anson McDonald , Lyle Monroe , Caleb Saunders , John Riverside and Simon York .",Robert A. Heinlein,1907-07-07 00:00:00,1988-05-08 00:00:00,3.92,Stranger in a Strange Land,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,
"William F. Nolan is best known as the co-author (with George Clayton Johnson) of Logan's Run -- a science fiction novel that went on to become a movie, a television series and is about to become a movie again -- and as single author of its sequels. His short stories have been selected for scores of anthologies and textbooks and he is twice winner of the Edgar Allan Poe Special Award from the Mystery Writers of America. Nolan was born in 1928 in Kansas City Missouri. He attended the Kansas City Art Institute and worked as an artist for Hallmark Cards. He moved to California in the late 1940s and studied at San Diego State College. He began concentrating on writing rather than art and, in 1952, was introduced by fellow Missouri native (and established writer) Ray Bradbury to another young up-and-coming author, Charles Beaumont. Moving to the Los Angeles area in 1953, Nolan became along with Bradbury, Beaumont, and Richard Matheson part of the ""inner core"" of the soon-to-be highly influential ""Southern California Group"" of writers. By 1956 Nolan was a full-time writer. Since 1951 he has sold more than 1500 stories, articles, books, and other works. Although Nolan wrote roughly 2000 pieces, to include biographies, short stories, poetry, and novels, Logan’s Run retains its hold on the public consciousness as a political fable and dystopian warning. As Nolan has stated: “That I am known at all is still astonishing to me... "" He passed away at the age of 93 due to complications from an infection.",William F. Nolan,1928-03-06 00:00:00,2021-07-15 00:00:00,3.64,Logan's Run,https://www.goodreads.com/book/show/73654.Logan_s_Run,http://www.williamfnolan.com
"Mike Carey is the acclaimed writer of Lucifer and Hellblazer (now filmed as Constantine). He has recently completed a comics adaptation of Neil Gaiman's Neverwhere, and is the current writer on Marvel's X-Men and Ultimate Fantastic Four. He has also written the screenplay for a movie, Frost Flowers, which is soon to be produced by Hadaly Films and Bluestar Pictures. Also writes as Mike Carey",M.R. Carey,,,3.95,The Girl with All the Gifts,https://www.goodreads.com/book/show/17235026-the-girl-with-all-the-gifts,http://www.mike-carey.co.uk/
"Caragh M. O'Brien is the author of the BIRTHMARKED trilogy and THE VAULT OF DREAMERS series, both from Macmillan/Roaring Brook Press. Born in St. Paul, Minnesota, Ms. O'Brien earned her BA from Williams College and her MA from Johns Hopkins University. Once a high school English teacher, she resigned to write young adult novels. For more information, visit http://www.caraghobrien.com .",Caragh M. O'Brien,,,3.88,Birthmarked,https://www.goodreads.com/book/show/6909544-birthmarked,https://www.caraghobrien.com/
"George Rippey Stewart was an American toponymist, a novelist, and a professor of English at the University of California, Berkeley. He is best known for his only science fiction novel Earth Abides (1949), a post-apocalyptic novel, for which he won the first International Fantasy Award in 1951. It was dramatized on radio's Escape and inspired Stephen King's The Stand . His 1941 novel Storm , featuring as its protagonist a Pacific storm called Maria, prompted the National Weather Service to use personal names to designate storms and inspired Alan Jay Lerner and Frederick Loewe to write the song ""They Call the Wind Maria"" for their 1951 musical ""Paint Your Wagon."" Storm was dramatized as ""A Storm Called Maria"" on a 1959 episode of ABC's Disneyland. Two other novels, Ordeal by Hunger (1936) and Fire (1948) also evoked environmental catastrophes. Stewart was a founding member of the American Name Society in 1956-57, and he once served as an expert witness in a murder trial as a specialist in family names. His best-known academic work is Names on the Land A Historical Account of Place-Naming in the United States (1945; reprinted, New York Review Books , 2008). He wrote three other books on place-names, A Concise Dictionary of American Place-Names (1970), Names on the Globe (1975), and American Given Names (1979). His scholarly works on the poetic meter of ballads (published under the name George R. Stewart, Jr.), beginning with his 1922 Ph.D. dissertation at Columbia, remain important in their field. His 1959 book Pickett's Charge is a detailed history of the final attack at Gettysburg.",George R. Stewart,1895-05-31 00:00:00,1980-08-22 00:00:00,3.94,Earth Abides,https://www.goodreads.com/book/show/93269.Earth_Abides,
"Dave Eggers is an American writer, editor, and publisher. He is best known for his 2000 memoir, A Heartbreaking Work of Staggering Genius, which became a bestseller and was a finalist for the Pulitzer Prize for General Nonfiction. Eggers is also the founder of several notable literary and philanthropic ventures, including the literary journal Timothy McSweeney's Quarterly Concern, the literacy project 826 Valencia, and the human rights nonprofit Voice of Witness. Additionally, he founded ScholarMatch, a program that connects donors with students needing funds for college tuition. His writing has appeared in numerous prestigious publications, including The New Yorker, Esquire, and The New York Times Magazine.",Dave Eggers,1970-03-12 00:00:00,,4.15,What Is the What,https://www.goodreads.com/book/show/4952.What_Is_the_What,https://daveeggers.net/
"Agatha Christie also wrote romance novels under the pseudonym Mary Westmacott , and was occasionally published under the name Agatha Christie Mallowan . Dame Agatha Mary Clarissa Christie, Lady Mallowan, DBE (née Miller) was an English writer known for her 66 detective novels and 14 short story collections, particularly those revolving around fictional detectives Hercule Poirot and Miss Marple. She also wrote the world's longest-running play, the murder mystery The Mousetrap, which has been performed in the West End of London since 1952. A writer during the ""Golden Age of Detective Fiction"", Christie has been called the ""Queen of Crime"". She also wrote six novels under the pseudonym Mary Westmacott. In 1971, she was made a Dame (DBE) by Queen Elizabeth II for her contributions to literature. Guinness World Records lists Christie as the best-selling fiction writer of all time, her novels having sold more than two billion copies. This best-selling author of all time wrote 66 crime novels and story collections, fourteen plays, and six novels under a pseudonym in romance. Her books sold more than a billion copies in the English language and a billion in translation. According to Index Translationum, people translated her works into 103 languages at least, the most for an individual author. Of the most enduring figures in crime literature, she created Hercule Poirot and Miss Jane Marple. She atuhored The Mousetrap , the longest-running play in the history of modern theater. Associated Names: Agata Christie Agata Kristi Агата Кристи (Russian) Агата Крісті (Ukrainian) Αγκάθα Κρίστι (Greek) アガサ クリスティ (Japanese) 阿嘉莎·克莉絲蒂 (Chinese)",Agatha Christie,1890-09-15 00:00:00,1976-01-12 00:00:00,4.27,And Then There Were None,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,https://www.agathachristie.com/en
